"Treatment","Drug","Time_on_white","Entries","Duration","Risk_assessment_N","Erratic_swimming_N","Thigmotaxis_Percent"
"CTRL","VEH",144.215,37,3.8977027027027,1,0,0.830444444444444
"CTRL","VEH",138.984,149,0.932778523489933,1,0,7.98433333333333
"CTRL","VEH",289.698,505,0.573659405940594,2,0,8.70188888888889
"CTRL","VEH",93.519,104,0.899221153846154,0,0,1.24477777777778
"CTRL","VEH",86.83,686,0.126574344023324,0,0,26.3542222222222
"CTRL","VEH",312.515,260,1.20198076923077,2,0,7.89122222222222
"CTRL","VEH",79.134,60,1.3189,8,3,0.360555555555556
"CTRL","VEH",170.58,139,1.22719424460432,1,3,18.0704444444444
"CTRL","VEH",186.106,237,0.785257383966245,8,2,4.25211111111111
"CTRL","7NI",153.894,208,0.739875,6,1,8.041
"CTRL","7NI",80.955,135,0.599666666666667,3,0,1.32922222222222
"CTRL","7NI",120.473,157,0.767343949044586,14,4,5.62044444444445
"CTRL","7NI",74.809,105,0.712466666666667,6,1,1.77633333333333
"CTRL","7NI",99.285,14,7.09178571428571,0,1,35.5918888888889
"CTRL","7NI",180.068,275,0.654792727272727,1,1,5.24422222222222
"CTRL","7NI",355.596,225,1.58042666666667,0,1,5.70144444444444
"CAS","VEH",9.135,11,0.830454545454546,8,1,0.0
"CAS","VEH",34.644,431,0.0803805104408353,4,6,4.87688888888889
"CAS","VEH",4.239,11,0.385363636363636,1,1,0.0
"CAS","VEH",8.642,19,0.454842105263158,1,0,0.0
"CAS","VEH",56.935,16,3.5584375,8,3,38.8214444444444
"CAS","VEH",67.26,234,0.287435897435897,5,0,3.467
"CAS","VEH",59.794,7,8.542,10,2,31.837
"CAS","VEH",0.869,1,0.869,1,0,0.0
"CAS","VEH",130.225,159,0.819025157232704,6,5,2.43866666666667
"CAS","VEH",41.495,47,0.882872340425532,5,1,38.489
"CAS","VEH",130.593,24,5.441375,9,5,4.36444444444444
"CAS","VEH",22.186,68,0.326264705882353,13,6,0.171
"CAS","VEH",16.685,18,0.926944444444444,7,1,0.0345555555555556
"CAS","VEH",7.258,11,0.659818181818182,2,0,0.0142222222222222
"CAS","7NI",376.863,121,3.11457024793388,6,0,3.09144444444444
"CAS","7NI",104.145,366,0.284549180327869,2,6,15.3215555555556
"CAS","7NI",82.763,132,0.626992424242424,8,0,1.35255555555556
"CAS","7NI",79.159,161,0.491670807453416,9,0,1.25777777777778
"CAS","7NI",6.972,14,0.498,6,0,0.0
"CAS","7NI",51.223,79,0.648392405063291,4,0,0.592111111111111
"CAS","7NI",193.049,407,0.474321867321867,4,5,11.5675555555556
"CAS","7NI",170.323,273,0.623893772893773,3,6,5.12488888888889
"CAS","7NI",466.767,655,0.712621374045802,1,0,42.241
"CAS","7NI",348.396,745,0.467645637583893,2,0,27.8776666666667
"CAS","7NI",81.469,165,0.493751515151515,3,1,1.55333333333333
"CAS","7NI",0.392,1,0.392,1,0,0.0
