"Treatment","Drug","Time_on_white","Entries","Duration","Erratic_swimming","Risk_Assessment","Freezing","Thigmotaxis"
"CTRL","VEH",294.372430441625,14,21.026602174401784,6,0,1,23.6801311638544
"CTRL","VEH",238.704131392791,22,10.850187790581408,0,2,0,17.6041771313454
"CTRL","VEH",378.5175248730255,83,4.560452106903921,0,0,1,7.01781934628293
"CTRL","VEH",213.183714410418,129,1.652586933414093,0,0,2,23.3662621855384
"CTRL","VEH",208.791581453592,99,2.109005873268606,13,12,2,3.09839498421612
"CTRL","VEH",366.565511994072,31,11.824693935292645,4,12,0,20.0813357430308
"CTRL","VEH",275.014369528059,132,2.083442193394386,0,6,2,9.07656577657321
"CTRL","VEH",248.882339080111,24,10.37009746167129,11,8,0,20.0314130868558
"CTRL","VEH",149.562619973071,123,1.2159562599436666,0,11,1,15.4047283859059
"CTRL","VEH",232.9430875274741,11,21.17664432067946,3,8,0,11.8728636788515
"CTRL","VEH",350.3120883771538,62,5.650194973825061,1,13,0,9.30234487533208
"CTRL","VEH",106.132450220855,127,0.8356885844161811,11,0,0,8.33164856256839
"CAS","VEH",12.83,127,0.10102362204724409,1,14,1,32.8885206113851
"CAS","VEH",13.144,10,1.3144,10,20,0,29.9409029432321
"CAS","VEH",65.84,47,1.4008510638297873,9,11,3,15.9967927731444
"CAS","VEH",87.3,62,1.4080645161290322,11,9,0,45.7212246827455
"CAS","VEH",6.45,57,0.11315789473684211,5,14,1,32.3203666707185
"CAS","VEH",63.3,1,63.3,12,12,3,32.7007199815962
"CAS","VEH",105.18,139,0.7566906474820144,11,21,2,44.7987316332459
"CAS","VEH",56.3,33,1.706060606060606,10,5,0,19.3432223182076
"CAS","VEH",75.115,135,0.5564074074074074,9,25,1,13.936575396916
"CAS","VEH",50.7,32,1.584375,1,6,2,26.4132161922208
"CAS","VEH",0.191,99,0.0019292929292929293,1,15,1,30.696857707729
"CAS","VEH",12.0,34,0.35294117647058826,4,10,5,18.7619147015818
"CTRL","TRAM-34",272.0,155,1.7548387096774194,2,10,1,22.6400989014048
"CTRL","TRAM-34",403.24,21,19.201904761904764,7,9,0,7.16031227324844
"CTRL","TRAM-34",245.28,48,5.11,8,1,1,10.0901550304333
"CTRL","TRAM-34",5.0,13,0.38461538461538464,0,5,1,11.1511266546823
"CTRL","TRAM-34",51.49,77,0.6687012987012987,1,7,1,11.4783101938568
"CTRL","TRAM-34",116.0,138,0.8405797101449275,10,9,0,24.5198830438558
"CTRL","TRAM-34",156.97,154,1.0192857142857144,1,5,1,2.63503096610169
"CTRL","TRAM-34",798.56,25,31.9424,3,9,0,11.4222529772719
"CTRL","TRAM-34",583.0,97,6.010309278350515,10,0,0,21.3543792041003
"CTRL","TRAM-34",70.0,2,35.0,4,6,2,26.4903323927057
"CAS","TRAM-34",458.0,28,16.357142857142858,6,7,1,28.4195975778972
"CAS","TRAM-34",504.0,58,8.689655172413794,9,11,1,19.2646601089895
"CAS","TRAM-34",574.0,147,3.9047619047619047,5,6,1,18.7735778831915
"CAS","TRAM-34",142.53,112,1.2725892857142858,12,13,0,22.0628672231602
"CAS","TRAM-34",377.0,32,11.78125,2,13,0,7.92987745829866
"CAS","TRAM-34",782.3,73,10.716438356164383,1,2,2,11.3225578308607
"CAS","TRAM-34",11.22,95,0.11810526315789474,10,0,1,21.2092679553938
"CAS","TRAM-34",608.78,111,5.484504504504504,1,2,1,8.20478846626913
"CAS","TRAM-34",358.32,44,8.143636363636363,4,8,0,19.1863032943665
"CAS","TRAM-34",22.0,59,0.3728813559322034,2,6,1,29.9875467352669
"CAS","TRAM-34",22.0,145,0.15172413793103448,13,8,1,18.0890402946047
"CAS","TRAM-34",162.64,46,3.5356521739130433,8,13,0,4.93472114031011
